,rok,sentiment,count
0,2000,0,6021
1,2000,1,12104
2,2001,0,3059
3,2001,1,6159
4,2002,0,8117
5,2002,1,15438
6,2003,0,9004
7,2003,1,16473
8,2004,0,8970
9,2004,1,15756
10,2005,0,8680
11,2005,1,16252
12,2006,0,9053
13,2006,1,16254
14,2007,0,9484
15,2007,1,17689
16,2008,0,9371
17,2008,1,16670
18,2009,0,9867
19,2009,1,18248
20,2010,0,9552
21,2010,1,18828
22,2011,0,9765
23,2011,1,19720
24,2012,0,9431
25,2012,1,19903
26,2013,0,9790
27,2013,1,20676
28,2014,0,9205
29,2014,1,19718
30,2015,0,8705
31,2015,1,19730
32,2016,0,9495
33,2016,1,21831
34,2017,0,8609
35,2017,1,21104
36,2018,0,9842
37,2018,1,25955
38,2019,0,10598
39,2019,1,29339
40,2020,0,5328
41,2020,1,15611
